Kode_Barcode,Nama_Produk,Kategori,Harga,Satuan,Stok
8992003783337,ANTANGIN PERMEN HERBAL 5x2g,,,,
8992003783399,ANTANGIN CAIR GINGER MIN S,,,,
8992003170403,ANTANGIN 4 SSTR,,,,
8992003782354,ANTANGIN JRG ANGIN CAIR )SCT 15mL,,,,
8992933453119,ANGET SARI SUSU JAHEPCK 10x28g,,,,
8888299758398,ALTECO SUPER GLUE 110TUB 3g,,,,
8991115004019,ALPENLIEBE STRAWBWRYSAK,,,,
8991115000080,ALPENLIEBE CARAMELSAK,,,,
8990800019444,ALPENLIBE LOLI banana,,,,
8998866500326,ALE-ALE STRAWBERRY 200mL,,,,
8998866500319,ALE-ALE ORANGE 200mL,,,,
8992770033208,MASAKO SAPI PCK 6x11g,,,,
8992770033192,MASAKO AYAM PCK 6x11g,,,,
8992770111005,MAYUMIPCK 100g,,,,
8993014730129,MADURASA JERUK BOX 12X20mL,,,,
8993539322779,AIR CUP JUMBO 1500 BTL,,,,
8993539111205,AIR CUP 600 BTL,,,,
3607345401119,ADIDAS DEO PURE GAME KLG 150mL,,,,
3607345387321,ADIDAS DEO ICE DIVE KLG 150mL,,,,
3607345217536,ADIDAS PURE GAME BTL,,,,
3412242670038,ADIDAS ICE DIVE BTL 5,,,,
8992772123068,ADEM SARI BOX 6X7g,,,,
8992772586016,ADEM SARI CK KLG 320mL,,,,
8992772585026,ADEM SARI CK BTL 350mL,,,,
8993478101053,ACTIFED PILEK&BATUK GATAL KERINGBTL 60mL,,,,
8993478101077,ACTIFED PILEK&BATUK BERDAHAKBTL 60mL,,,,
89941225,ABSOLUTE F BTL 60mL,,,,
711844340008,ABC TERASI UDANGPCK 20X4.2g,,,,
711844154506,ABC COCOPANDAN BTL 585mL,,,,
711844150003,ABC SYRUP ORANGE BTL 580mL,,,,
711844140059,ABC SAUS TIRAMBTL 135mL,,,,
711844130111,ABC SAUCE TOMAT BTL 135mL,,,,
711844330115,ABC SARDINES CHILI KLG 425g,,,,
711844330108,ABC SARDINES CHILI KLG 155g,,,,
711844120310,ABC SAMBALPCK 22x9mL,,,,
711844120013,ABC SAMBALBTL 335mL,,,,
711844120037,ABC SAMBALBTL 135mL,,,,
711844120396,ABC SAMBAL TERASIBTL 200g,,,,
711844120075,ABC SAMBAL EXTRA PEDA BTL 335mL,,,,
711844120082,ABC SAMBAL EXTRA PEDA BTL 135mL,,,,
711844120563,ABC SAMBAL BAJAKBTL 190g,,,,
711844120167,ABC SAMBAL AYAM GOREN BTL 135mL,,,,
8992388111206,ABC PEDAS GULAI AYM. PCK 70g,,,,
8992388121267,ABC PEDAS GULAI AYAM CUP 60g,,,,
8992388112678,ABC AYM PEDAS CUP 80g,,,,
711844330214,ABC MACKAREL TOMAT KLG 425g,,,,
711844110113,ABC KECAP MANIS BTL 135mL,,,,
711844140127,ABC KECAP INGGRISBTL 195mL,,,,
711844115057,ABC KECAP ASIN BTL 133mL,,,,
8886022920258,ABC2 S TANGGUNG PCK,,,,
8886022941512,ALKALINE AAA 2 S PCK,,,,
8990800015200,ALPENLIBE LOLI caramel,,,,
8990800004723,ALPENLIBE LOLI strawbwery,,,,
711844330214,ABC MACKAREL TOMAT KLG 425G,,,,
8991002101746,ABC KOPI+SUSU+MOCHA 10X27G,,,,
8991002101630,"ABC KOPI,GULA PCK 10X31G",,,,
8886022836245,ABC BATERY BIRU 4 S,,,,
8886022910266,ABC BATERY 2 S BESAR,,,,
8886022971298,ALKALINE AA-LR6,,,,
8888166336568,NISSIN CRISPY CRAKERS 225G,,,,
8886015403034,NYAM-NYAM FANTASI STRA,,,,
8886013456483,GO POTATO 60G,,,,
8888166609280,KHONGGUAN BUGATTI PIZZA 220G,,,,
